"abbreviation"	"name"	"equation"	"reversible"	"compartment"	"lowbnd"	"uppbnd"	"obj_coef"	"rule"	"subsystem"
"CO2t"	"CO2 transporter via diffusion"	"co2[e] <==> co2[c]"	"Reversible"	"C_c, C_e"	-1000	1000	0	"s0001"	"Transport, Extracellular"
"CS"	"citrate synthase"	"[c] : accoa + h2o + oaa --> coa + h + cit"	"Irreversible"	"C_c"	0	1000	0	"b0720"	"Citric Acid Cycle"
"CYTBD"	"cytochrome oxidase bd (ubiquinol-8: 2 protons)"	"(2) h[c] + (0.5) o2[c] + q8h2[c] --> h2o[c] + (2) h[e] + q8[c]"	"Irreversible"	"C_c, C_e"	0	1000	0	"((b0978 and b0979) or (b0733 and b0734))"	"Oxidative Phosphorylation"
"D_LACt2"	"D-lactate transport via proton symport"	"h[e] + lac_D[e] <==> h[c] + lac_D[c]"	"Reversible"	"C_c, C_e"	-1000	1000	0	"( b2975  or  b3603 )"	"Transport, Extracellular"
"ENO"	"enolase"	"[c] : 2pg <==> h2o + pep"	"Reversible"	"C_c"	-1000	1000	0	"b2779"	"Glycolysis/Gluconeogenesis"
"ETOHt2r"	"ethanol reversible transport via proton symport"	"h[e] + etoh[e] <==> h[c] + etoh[c]"	"Reversible"	"C_c, C_e"	-1000	1000	0	""	"Transport, Extracellular"
"EX_ac(e)"	"Acetate exchange"	"[e] : ac <==> "	"Reversible"	"C_e"	0	1000	0	""	"Exchange"
"EX_acald(e)"	"Acetaldehyde exchange"	"[e] : acald <==> "	"Reversible"	"C_e"	0	1000	0	""	"Exchange"
"EX_akg(e)"	"2-Oxoglutarate exchange"	"[e] : akg <==> "	"Reversible"	"C_e"	0	1000	0	""	"Exchange"
"EX_co2(e)"	"CO2 exchange"	"[e] : co2 <==> "	"Reversible"	"C_e"	-1000	1000	0	""	"Exchange"
"EX_etoh(e)"	"Ethanol exchange"	"[e] : etoh <==> "	"Reversible"	"C_e"	0	1000	0	""	"Exchange"
"EX_for(e)"	"Formate exchange"	"[e] : for <==> "	"Reversible"	"C_e"	0	1000	0	""	"Exchange"
"EX_fru(e)"	"D-Fructose exchange"	"[e] : fru <==> "	"Reversible"	"C_e"	0	1000	0	""	"Exchange"
"EX_fum(e)"	"Fumarate exchange"	"[e] : fum <==> "	"Reversible"	"C_e"	0	1000	0	""	"Exchange"
"EX_glc(e)"	"D-Glucose exchange"	"[e] : glc_D <==> "	"Reversible"	"C_e"	-10	1000	0	""	"Exchange"
"EX_gln_L(e)"	"L-Glutamine exchange"	"[e] : gln_L <==> "	"Reversible"	"C_e"	0	1000	0	""	"Exchange"
"EX_glu_L(e)"	"L-Glutamate exchange"	"[e] : glu_L <==> "	"Reversible"	"C_e"	0	1000	0	""	"Exchange"
"EX_h(e)"	"H+ exchange"	"[e] : h <==> "	"Reversible"	"C_e"	-1000	1000	0	""	"Exchange"
"EX_h2o(e)"	"H2O exchange"	"[e] : h2o <==> "	"Reversible"	"C_e"	-1000	1000	0	""	"Exchange"
"EX_lac_D(e)"	"D-Lactate exchange"	"[e] : lac_D <==> "	"Reversible"	"C_e"	0	1000	0	""	"Exchange"
"EX_mal_L(e)"	"L-Malate exchange"	"[e] : mal_L <==> "	"Reversible"	"C_e"	0	1000	0	""	"Exchange"
"EX_nh4(e)"	"Ammonium exchange"	"[e] : nh4 <==> "	"Reversible"	"C_e"	-1000	1000	0	""	"Exchange"
"EX_o2(e)"	"O2 exchange"	"[e] : o2 <==> "	"Reversible"	"C_e"	-1000	1000	0	""	"Exchange"
"EX_pi(e)"	"Phosphate exchange"	"[e] : pi <==> "	"Reversible"	"C_e"	-1000	1000	0	""	"Exchange"
"EX_pyr(e)"	"Pyruvate exchange"	"[e] : pyr <==> "	"Reversible"	"C_e"	0	1000	0	""	"Exchange"
"EX_succ(e)"	"Succinate exchange"	"[e] : succ <==> "	"Reversible"	"C_e"	0	1000	0	""	"Exchange"
"FBA"	"fructose-bisphosphate aldolase"	"[c] : fdp <==> g3p + dhap"	"Reversible"	"C_c"	-1000	1000	0	"(b2097 or b1773 or b2925)"	"Glycolysis/Gluconeogenesis"
"FBP"	"fructose-bisphosphatase"	"[c] : h2o + fdp --> pi + f6p"	"Irreversible"	"C_c"	0	1000	0	"(b3925 or b4232)"	"Glycolysis/Gluconeogenesis"
"FORt2"	"formate transport via proton symport (uptake only)"	"h[e] + for[e] --> h[c] + for[c]"	"Irreversible"	"C_c, C_e"	0	1000	0	"(b0904 or b2492)"	"Transport, Extracellular"
"FORti"	"formate transport via diffusion"	"for[c] --> for[e]"	"Irreversible"	"C_e, C_c"	0	1000	0	"(b0904 or b2492)"	"Transport, Extracellular"
"FRD7"	"fumarate reductase"	"[c] : q8h2 + fum --> q8 + succ"	"Irreversible"	"C_c"	0	1000	0	"(b4151 and b4152 and b4153 and b4154)"	"Oxidative Phosphorylation"
"FRUpts2"	"Fructose transport via PEP:Pyr PTS (f6p generating)"	"pep[c] + fru[e] --> f6p[c] + pyr[c]"	"Irreversible"	"C_c, C_e"	0	1000	0	"(b1817 and b1818 and b1819 and b2415 and b2416)"	"Transport, Extracellular"
"FUM"	"fumarase"	"[c] : h2o + fum <==> mal_L"	"Reversible"	"C_c"	-1000	1000	0	"( b1612  or  b4122  or  b1611 )"	"Citric Acid Cycle"
"FUMt2_2"	"Fumarate transport via proton symport (2 H)"	"(2) h[e] + fum[e] --> (2) h[c] + fum[c]"	"Irreversible"	"C_c, C_e"	0	1000	0	"b3528"	"Transport, Extracellular"
"G6PDH2r"	"glucose 6-phosphate dehydrogenase"	"[c] : g6p + nadp <==> h + nadph + 6pgl"	"Reversible"	"C_c"	-1000	1000	0	"b1852"	"Pentose Phosphate Pathway"
"GAPD"	"glyceraldehyde-3-phosphate dehydrogenase"	"[c] : nad + pi + g3p <==> h + nadh + 13dpg"	"Reversible"	"C_c"	-1000	1000	0	"b1779"	"Glycolysis/Gluconeogenesis"
"GLCpts"	"D-glucose transport via PEP:Pyr PTS"	"pep[c] + glc_D[e] --> g6p[c] + pyr[c]"	"Irreversible"	"C_c, C_e"	0	1000	0	"((b2417 and b1101 and b2415 and b2416) or (b1817 and b1818 and b1819 and b2415 and b2416) or (b2417 and b1621 and b2415 and b2416))"	"Transport, Extracellular"
"GLNS"	"glutamine synthetase"	"[c] : atp + glu_L + nh4 --> h + adp + pi + gln_L"	"Irreversible"	"C_c"	0	1000	0	"(b3870 or b1297)"	"Glutamate Metabolism"
"GLNabc"	"L-glutamine transport via ABC system"	"atp[c] + h2o[c] + gln_L[e] --> h[c] + adp[c] + pi[c] + gln_L[c]"	"Irreversible"	"C_c, C_e"	0	1000	0	"(b0811 and b0810 and b0809)"	"Transport, Extracellular"
"GLUDy"	"glutamate dehydrogenase (NADP)"	"[c] : h2o + glu_L + nadp <==> h + akg + nadph + nh4"	"Reversible"	"C_c"	-1000	1000	0	"b1761"	"Glutamate Metabolism"
"GLUN"	"glutaminase"	"[c] : h2o + gln_L --> glu_L + nh4"	"Irreversible"	"C_c"	0	1000	0	"(b1812 or b0485 or b1524)"	"Glutamate Metabolism"
"GLUSy"	"glutamate synthase (NADPH)"	"[c] : h + akg + gln_L + nadph --> (2) glu_L + nadp"	"Irreversible"	"C_c"	0	1000	0	"(b3212 and b3213)"	"Glutamate Metabolism"
"GLUt2r"	"L-glutamate transport via proton symport, reversible (periplasm)"	"h[e] + glu_L[e] <==> h[c] + glu_L[c]"	"Reversible"	"C_c, C_e"	-1000	1000	0	"b4077"	"Transport, Extracellular"
"GND"	"phosphogluconate dehydrogenase"	"[c] : nadp + 6pgc --> co2 + nadph + ru5p_D"	"Irreversible"	"C_c"	0	1000	0	"b2029"	"Pentose Phosphate Pathway"
"H2Ot"	"H2O transport via diffusion"	"h2o[e] <==> h2o[c]"	"Reversible"	"C_c, C_e"	-1000	1000	0	"(b0875 or s0001)"	"Transport, Extracellular"
"ICDHyr"	"isocitrate dehydrogenase (NADP)"	"[c] : icit + nadp <==> akg + co2 + nadph"	"Reversible"	"C_c"	-1000	1000	0	"b1136"	"Citric Acid Cycle"
"ICL"	"Isocitrate lyase"	"[c] : icit --> succ + glx"	"Irreversible"	"C_c"	0	1000	0	"b4015"	"Anaplerotic reactions"
"LDH_D"	"D lactate dehydrogenase"	"[c] : nad + lac_D <==> h + nadh + pyr"	"Reversible"	"C_c"	-1000	1000	0	"(b2133 or b1380)"	"Pyruvate Metabolism"
"MALS"	"malate synthase"	"[c] : accoa + h2o + glx --> coa + h + mal_L"	"Irreversible"	"C_c"	0	1000	0	"( b4014  or  b2976 )"	"Anaplerotic reactions"
"MALt2_2"	"Malate transport via proton symport (2 H)"	"(2) h[e] + mal_L[e] --> (2) h[c] + mal_L[c]"	"Irreversible"	"C_c, C_e"	0	1000	0	"b3528"	"Transport, Extracellular"
"MDH"	"malate dehydrogenase"	"[c] : nad + mal_L <==> h + nadh + oaa"	"Reversible"	"C_c"	-1000	1000	0	"b3236"	"Citric Acid Cycle"
"ME1"	"malic enzyme (NAD)"	"[c] : nad + mal_L --> nadh + co2 + pyr"	"Irreversible"	"C_c"	0	1000	0	"b1479"	"Anaplerotic reactions"
"ME2"	"malic enzyme (NADP)"	"[c] : nadp + mal_L --> co2 + nadph + pyr"	"Irreversible"	"C_c"	0	1000	0	"b2463"	"Anaplerotic reactions"
"NADH16"	"NADH dehydrogenase (ubiquinone-8 & 3 protons)"	"(4) h[c] + nadh[c] + q8[c] --> nad[c] + (3) h[e] + q8h2[c]"	"Irreversible"	"C_c, C_e"	0	1000	0	"(b2276 and b2277 and b2278 and b2279 and b2280 and b2281 and b2282 and b2283 and b2284 and b2285 and b2286 and b2287 and b2288)"	"Oxidative Phosphorylation"
"NADTRHD"	"NAD transhydrogenase"	"[c] : nad + nadph --> nadh + nadp"	"Irreversible"	"C_c"	0	1000	0	"(b3962 or (b1602 and b1603))"	"Oxidative Phosphorylation"
"NH4t"	"ammonia reversible transport"	"nh4[e] <==> nh4[c]"	"Reversible"	"C_e, C_c"	-1000	1000	0	"(s0001 or b0451)"	"Inorganic Ion Transport and Metabolism"
"O2t"	"o2 transport via diffusion"	"o2[e] <==> o2[c]"	"Reversible"	"C_c, C_e"	-1000	1000	0	"s0001"	"Transport, Extracellular"
"PDH"	"pyruvate dehydrogenase"	"[c] : coa + nad + pyr --> accoa + nadh + co2"	"Irreversible"	"C_c"	0	1000	0	"( b0114  and  b0115  and  b0116 )"	"Glycolysis/Gluconeogenesis"
"PFK"	"phosphofructokinase"	"[c] : atp + f6p --> h + adp + fdp"	"Irreversible"	"C_c"	0	1000	0	"( b3916  or  b1723 )"	"Glycolysis/Gluconeogenesis"
"PFL"	"pyruvate formate lyase"	"[c] : coa + pyr --> accoa + for"	"Irreversible"	"C_c"	0	1000	0	"(((b0902 and b0903) and b2579) or (b0902 and b0903) or (b0902 and b3114) or (b3951 and b3952))"	"Pyruvate Metabolism"
"PGI"	"glucose-6-phosphate isomerase"	"[c] : g6p <==> f6p"	"Reversible"	"C_c"	-1000	1000	0	"b4025"	"Glycolysis/Gluconeogenesis"
"PGK"	"phosphoglycerate kinase"	"[c] : atp + 3pg <==> adp + 13dpg"	"Reversible"	"C_c"	-1000	1000	0	"b2926"	"Glycolysis/Gluconeogenesis"
"PGL"	"6-phosphogluconolactonase"	"[c] : h2o + 6pgl --> h + 6pgc"	"Irreversible"	"C_c"	0	1000	0	"b0767"	"Pentose Phosphate Pathway"
"PGM"	"phosphoglycerate mutase"	"[c] : 2pg <==> 3pg"	"Reversible"	"C_c"	-1000	1000	0	"(b3612 or b4395 or b0755)"	"Glycolysis/Gluconeogenesis"
"PIt2r"	"phosphate reversible transport via proton symport"	"h[e] + pi[e] <==> h[c] + pi[c]"	"Reversible"	"C_c, C_e"	-1000	1000	0	"(b2987 or b3493)"	"Inorganic Ion Transport and Metabolism"
"PPC"	"phosphoenolpyruvate carboxylase"	"[c] : h2o + co2 + pep --> h + pi + oaa"	"Irreversible"	"C_c"	0	1000	0	"b3956"	"Anaplerotic reactions"
"PPCK"	"phosphoenolpyruvate carboxykinase"	"[c] : atp + oaa --> adp + co2 + pep"	"Irreversible"	"C_c"	0	1000	0	"b3403"	"Anaplerotic reactions"
"PPS"	"phosphoenolpyruvate synthase"	"[c] : atp + h2o + pyr --> (2) h + amp + pi + pep"	"Irreversible"	"C_c"	0	1000	0	"b1702"	"Glycolysis/Gluconeogenesis"
"PTAr"	"phosphotransacetylase"	"[c] : accoa + pi <==> coa + actp"	"Reversible"	"C_c"	-1000	1000	0	"(b2297 or b2458)"	"Pyruvate Metabolism"
"PYK"	"pyruvate kinase"	"[c] : h + adp + pep --> atp + pyr"	"Irreversible"	"C_c"	0	1000	0	"(b1854 or b1676)"	"Glycolysis/Gluconeogenesis"
"PYRt2r"	"pyruvate reversible transport via proton symport"	"h[e] + pyr[e] <==> h[c] + pyr[c]"	"Reversible"	"C_c, C_e"	-1000	1000	0	""	"Transport, Extracellular"
"RPE"	"ribulose 5-phosphate 3-epimerase"	"[c] : ru5p_D <==> xu5p_D"	"Reversible"	"C_c"	-1000	1000	0	"(b3386 or b4301)"	"Pentose Phosphate Pathway"
"RPI"	"ribose-5-phosphate isomerase"	"[c] : r5p <==> ru5p_D"	"Reversible"	"C_c"	-1000	1000	0	"( b2914  or  b4090 )"	"Pentose Phosphate Pathway"
"SUCCt2_2"	"succinate transport via proton symport (2 H)"	"(2) h[e] + succ[e] --> (2) h[c] + succ[c]"	"Irreversible"	"C_c, C_e"	0	1000	0	"b3528"	"Transport, Extracellular"
"SUCCt3"	"succinate transport out via proton antiport"	"h[e] + succ[c] --> h[c] + succ[e]"	"Irreversible"	"C_c, C_e"	0	1000	0	""	"Transport, Extracellular"
"SUCDi"	"succinate dehydrogenase (irreversible)"	"[c] : q8 + succ --> q8h2 + fum"	"Irreversible"	"C_c"	0	1000	0	"(b0721 and b0722 and b0723 and b0724)"	"Oxidative Phosphorylation"
"SUCOAS"	"succinyl-CoA synthetase (ADP-forming)"	"[c] : coa + atp + succ <==> adp + succoa + pi"	"Reversible"	"C_c"	-1000	1000	0	"( b0728  and  b0729 )"	"Citric Acid Cycle"
"TALA"	"transaldolase"	"[c] : g3p + s7p <==> e4p + f6p"	"Reversible"	"C_c"	-1000	1000	0	"(b2464 or b0008)"	"Pentose Phosphate Pathway"
"THD2"	"NAD(P) transhydrogenase"	"nadh[c] + (2) h[e] + nadp[c] --> nad[c] + (2) h[c] + nadph[c]"	"Irreversible"	"C_c, C_e"	0	1000	0	"( b1602  and  b1603 )"	"Oxidative Phosphorylation"
"TKT1"	"transketolase"	"[c] : r5p + xu5p_D <==> g3p + s7p"	"Reversible"	"C_c"	-1000	1000	0	"( b2935  or  b2465 )"	"Pentose Phosphate Pathway"
"TKT2"	"transketolase"	"[c] : e4p + xu5p_D <==> f6p + g3p"	"Reversible"	"C_c"	-1000	1000	0	"( b2935  or  b2465 )"	"Pentose Phosphate Pathway"
"TPI"	"triose-phosphate isomerase"	"[c] : dhap <==> g3p"	"Reversible"	"C_c"	-1000	1000	0	"b3919"	"Glycolysis/Gluconeogenesis"
